design,source,hte,n,p,reps,G,R2_tau,PATE,IREG_HC1,IREG_HC1c,IREG_HC2,IREG_HC2c,IREG_HC3,IREG_HC3c,REG_HC1,REG_HC3,IREG_HC1_mcse,IREG_HC1c_mcse,IREG_HC2_mcse,IREG_HC2c_mcse,IREG_HC3_mcse,IREG_HC3c_mcse,REG_HC1_mcse,REG_HC3_mcse,IREG_HC1o,IREG_HC3o,plug_mean,plug_median,G_over_n,plug_mean_over_G_over_n,HC1_width_ratio_median,HC1_frac_miss_to_cover,frac_rank_deficient,frac_leverage_one
lognormal_s1.2_prop_n200,"current paper, Section 3 (r/gamma0_sim.R)",False,200,1,20000,0.0,0.0,1.0,0.91315,0.9446,0.9277,0.95515,0.94855,0.9666,0.9483,0.96405,0.0019913196315508967,0.0016175728731652246,0.0018312933953902638,0.0014635313030475288,0.0015620963078504474,0.0012705203658344086,0.0015656805229675684,0.0013163889527795353,,,0.053062081972206125,0.0131070789790021,0.0,,1.021594210854301,0.03145,0.0,0.0
lognormal_s1.2_prop_n2000,"current paper, Section 3 (r/gamma0_sim.R)",False,2000,1,10000,0.0,0.0,1.0,0.9457,0.9522,0.9494,0.9567,0.9559,0.9604,0.9536,0.9583,0.0022660871563115136,0.0021334282270561613,0.0021917946984149764,0.002035315945989713,0.0020531729103999015,0.0019501753767289744,0.0021034980389817337,0.0019990275135675336,,,0.001577785692741968,0.0004317208812216705,0.0,,1.005380569065605,0.0065,0.0,0.0
lognormal_s1.2_prop_n8000,"current paper, Section 3 (r/gamma0_sim.R)",False,8000,1,4000,0.0,0.0,1.0,0.94525,0.94775,0.94775,0.94875,0.94875,0.94975,0.9475,0.9495,0.0035969583504677936,0.0035185201967588594,0.0035185201967588594,0.0034865254014562986,0.0034865254014562986,0.0034541618918342556,0.0035264624625820132,0.003462287899640929,,,0.00019159044652668333,4.637276864270325e-05,0.0,,1.0021553817520037,0.0025,0.0,0.0
lognormal_s1.5_prop,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.899,0.946,0.9192,0.9569,0.9474,0.9698,0.9497,0.9671,0.0021307158421525847,0.0015981864722240651,0.0019270620124946678,0.001436008182427942,0.0015784999208108942,0.0012101231342305627,0.001545475816698534,0.001261300717513473,,,0.12631582518688111,0.02162242597292735,0.0,,1.0283060755614417,0.047,0.0,0.0
lognormal_s1.8_prop,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.8605,0.94915,0.89205,0.9624,0.941,0.97575,0.9507,0.97445,0.0024498954059306286,0.0015534522441967753,0.002194274339046966,0.0013451066872185262,0.0016661182431028125,0.0010877025673409067,0.001530841435289756,0.0011157328869402382,,,1.2252502209082126,0.1323912454983785,0.0,,1.052841443100084,0.08865,0.0,0.0
lognormal_s2.0_prop,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.8297,0.95125,0.8712,0.96545,0.9386,0.98055,0.95305,0.9787,0.002657987114340474,0.0015227185803686767,0.00236865531473028,0.0012914390713463792,0.001697498748158596,0.0009765167049262384,0.0014957556200796982,0.0010209385387965327,,,5.511617821150885,0.445782899251721,0.0,,1.07253084581563,0.12155,0.0,0.0
rare_q0.02_homo,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.9467,0.94705,0.90855,0.9088,0.94735,0.9482,0.9495,0.95025,0.001588381408856198,0.001583450307082607,0.002038221007398364,0.002035713142856821,0.001579208306399127,0.00156711135532865,0.0015483822202544174,0.0015374481698580927,,,1.8452184224508308e-05,8.429908777902374e-06,0.0,,1.0005113157677896,0.00035,0.0129,0.06645
rare_q0.02_prop,"current paper, Section 3 (r/gamma0_sim.R)",False,500,1,20000,0.0,0.0,1.0,0.9201,0.9377,0.90145,0.9168,0.9476,0.95955,0.9491,0.95975,0.0019172374657303144,0.0017090744571258449,0.0021075803365471035,0.0019529178170112542,0.001575662400389119,0.0013930864563981662,0.0015541748614618619,0.0013897830316275993,,,0.0011376514766660564,0.000503486850483122,0.0,,1.0135645450752426,0.0176,0.01365,0.06125
gauss_iid_n1000_p10,prev_table3,True,1000,10,10000,0.09,0.022004889975550123,1.0,0.9439,0.9473,0.9439,0.9473,0.9465,0.9504,0.947,0.9477,0.002301147322532828,0.0022343390521583776,0.002301147322532828,0.0022343390521583776,0.0022502833154960733,0.0021711711125565387,0.0022403347964087875,0.002226313320267388,0.9464,0.9495,0.00013007800935426817,0.00012579504237472837,8.999999999999999e-05,1.4453112150474243,1.0154286255493257,0.0034,0.0,0.0
gauss_iid_n1000_p2,prev_table3,True,1000,2,10000,0.09,0.022004889975550123,1.0,0.9465,0.9488,0.9465,0.9488,0.9467,0.9492,0.9489,0.9492,0.0022502833154960733,0.0022040544457884886,0.0022502833154960733,0.0022040544457884886,0.0022463105306257196,0.0021958907076628374,0.0022020170299068996,0.0021958907076628374,0.9485,0.9488,9.790389562361042e-05,9.394604494791412e-05,8.999999999999999e-05,1.0878210624845603,1.0116157714409946,0.0023,0.0,0.0
